	Tweet
4707	European #regulatory authorities and #QA societies together at the 2nd European QA Conference. Join us!  https://t.co/5L4R6tlV8a
4708	Regulatory Information Management 2016 with @Informa_Regs We’ll be in Madrid, 26 to 28 April. #RIM #RegAffairs
4709	Is it so difficult to sustain data integrity and provide easy access to GxP critical information?  https://t.co/yGjlEZ6zB5 #Quality
4710	The regulatory team at Macrogenics is reaping the rewards of real-time reporting and informative dashboards.  https://t.co/8IKPEC7xWq
4711	As the demand for digital content rises, Sanofi Pasteur MSD implements our #commercialcontent management solution.  https://t.co/YkQqzqb7Xk
4712	Veeva Vault PromoMats customers can now access the Global Service Center–providing customers a line of support. More- https://t.co/377KS6MiFH
4713	When it comes to professional ads, print makes its comeback:  https://t.co/TbqY5eROfG #pharmamarketing
4714	New studies push the #FDA to expand label for popular diabetes drugs -  https://t.co/FrR70AmBGr
4715	The Veeva TMF Maturity Model for Life Sciences provides practical steps for advancing your TMF. Take it here  https://t.co/vCUfYpMLxl
4716	Innovation, Integration and Integrity – Key learnings from the Annual EU ISPE Conference  https://t.co/yGjlEZ6zB5 #Compliance
4717	Find out how European pharma is bracing itself for the @EFPIA June deadline in @PharmExecutive  https://t.co/tPXNIcsyB1
4718	#Pharma's 2016 ad spending ties a decade old record -  https://t.co/FVhp3jRTEl #pharmamarketing
4719	MacroGenics looks for a holistic approach to global content management. Read how Veeva Vault helps  https://t.co/8IKPEC7xWq
4720	MSLs reinforce scientific credibility and develop peer-to-peer engagement @pharmaphorum  https://t.co/jmTzCH11Ty
4721	Registration now open! 2016 Veeva European R&amp;D Forum, 6-7 June, Copenhagen. Reserve your place today  https://t.co/SIQLmPh2lD #VeevaForum
4722	On our way to the #UKCloudAwards! @veevasystems is nominated for the #CRM product of the year! Good luck to all the shortlisted!
4723	Evaluate the end-to-end state of TMF within your organization.  https://t.co/OKy9pzke1J
4724	Macrogenics on technology upgrades: “If we knew how fast it would be, we would’ve moved to the cloud a lot sooner!”  https://t.co/8IKPEC7xWq
4725	Join Veeva and AbbVie to learn how to maintain an inspection ready TMF  https://t.co/VG0NkjttRm
4726	With Vault Submissions, MacroGenics is gaining reliable metrics from document creation through approval.  https://t.co/8IKPEC7xWq
4727	A world of potential in clinical research apps -  https://t.co/xTPIEUlROW #medicaldevice
4728	New Blog! Delivering Sustained Data Integrity and Easy Access to GxP Critical Information  https://t.co/yGjlEZ6zB5 #ISPE2016 #Harmonization
4729	Read @ContractPharma’s article for advice when considering a content management or RIM technology change  https://t.co/8IKPEBPX4S
4730	Evaluate the end-to-end state of TMF within your organization.  https://t.co/OKy9pz2CD9
4731	Join Veeva and AbbVie to learn how to maintain an inspection ready TMF  https://t.co/VG0NkjttRm
4732	Brand matters: Interbrand's best in #pharma rank Pfizer, Roche and Merck at top -  https://t.co/28nG48G96e #pharmamarketing
4733	The #FDA releases their long awaited draft guidance on biosimilar labeling -  https://t.co/GsJrgoYxCw
4734	.@ContractPharma features MacroGenics journey to the cloud for regulatory content management.  https://t.co/8IKPEC7xWq
4735	Julien Massinon, Practice Manager Veeva CRM sharing best practices on  #Multichannel engagement at @salesforce event  https://t.co/q3ct2v304T
4736	Afterwork with @salesforce! Ready to go!  https://t.co/QTnTaHwxW8
4737	Registration now open for Veeva European R&amp;D Forum, 6-7 June in Copenhagen. Reserve your place today #VeevaForum  https://t.co/SIQLmPh2lD
4738	Demystifying cloud for regulatory professionals.  What, why and how  https://t.co/oBxH6KFVw3
4739	@PharmaCommerce wants to know what differentiates multiple cloud-based IT vendors. Get the answer here  https://t.co/AnJhCzw8AE #lifesciences
4740	Learn what strategic process changes MacroGenics made by leveraging the functionality in Veeva Vault Submissions.  https://t.co/8IKPEC7xWq
4741	Interview with @PharmaCommerce: Matt Wallach on how Veeva evolves solutions to stay ahead of #lifescience trends.  https://t.co/wM43UYmsTz
4742	Learn about the process of #adpromo submissions using eCTD from @PhillyCooke during our @RAPSorg hosted webinar:  https://t.co/ToVEwre9Mp
4743	Join Veeva and AbbVie to learn how to maintain an inspection ready TMF  https://t.co/VG0NkjttRm
4744	The Veeva TMF Maturity Model for Life Sciences provides practical steps for advancing your TMF. Take it here  https://t.co/vCUfYpMLxl
4745	We are proud and humbled to be on the @Forbes list of best software companies to work for  https://t.co/dJMfV93pcS #LifeatVeeva
4746	#Industrycloud growing fast says @greentechlady, and Veeva is leading the movement - from today's Fortune  https://t.co/wNCKC6mo6S
4747	What are the challenges in transitioning to #adpromo submissions using eCTD? @PhillyCooke &amp; @VeevaSystems discuss -  https://t.co/ToVEwre9Mp
4748	Tips from Ronald Hernando, director of regulatory operations at MacroGenics, for switching from on-premise to cloud:  https://t.co/8IKPEC7xWq
4749	Cloud improves your regulatory information management. Find out how with this recorded webinar  https://t.co/oBxH6KFVw3
4750	Life in the fast lane: Veeva ranks in top one-third of Deloitte’s Tech Fast 500  https://t.co/dJMfV93pcS #LifeatVeeva
4751	#FDA enables companies to submit #adpromo submissions using eCTD which will soon become mandatory. Learn more:  https://t.co/ToVEwrvLaZ
4752	The Veeva TMF Maturity Model for Life Sciences provides practical steps for advancing your TMF. Take it here  https://t.co/vCUfYq4mVV
4753	Join Veeva and AbbVie to learn how to maintain an inspection ready TMF  https://t.co/VG0NkjttRm
4754	Evaluate the end-to-end state of TMF within your organization.  https://t.co/OKy9pz2CD9
4755	Improve inspection readiness and reduce time managing your TMF. Find out how @NAMSA_MRO did it http://bit.ly/1U48lQZ
4756	Transparency: Here are the #FDA drug &amp; device #regulations coming later in 2016.  https://t.co/CEFd5z4hm5
4757	Veeva Systems has been shortlisted for the #CRM Product of the Year at the #UKCloudAwards !
4758	By analyzing #socialmedia, scientists can increasingly make communitywide health forecasts &amp; individual diagnoses:  https://t.co/ejXFPrl6nX
4759	See what @OutsourcPharma has to say about BMS selecting Veeva Vault RIM solutions  https://t.co/KfpIVm2e70
4760	#FDA enables companies to submit #adpromo submissions using eCTD which will soon become mandatory. Learn more:  https://t.co/ToVEwre9Mp
4761	.@ContractPharma features MacroGenics journey to the cloud for regulatory content management.  https://t.co/8IKPEC7xWq
4762	How can regulatory teams benefit from #cloud solutions? Find out more  https://t.co/oBxH6KFVw3 @Informa_Regs
4763	Join Veeva and AbbVie to learn how to maintain an inspection ready TMF  https://t.co/Zy8feAwUbg
4764	There is a new approach to life science customer reference data. And the innovation award goes to....  https://t.co/dJMfV9l04q
4765	Transforming pharmas into cloud computing - @PharmaCommerce interviews Veeva co-founder Matt Wallach.  https://t.co/AnJhCzw8AE #lifesciences
4766	Macrogenics on technology upgrades: “If we knew how fast it would be, we would’ve moved to the cloud a lot sooner!”  https://t.co/8IKPEC7xWq
4767	Learn about the process of #adpromo submissions using eCTD from @PhillyCooke during our @RAPSorg hosted webinar:  https://t.co/ToVEwre9Mp
4768	The Veeva TMF Maturity Model for Life Sciences provides practical steps for advancing your TMF. Take it here  https://t.co/vCUfYpMLxl
4769	Medical research org @NAMSA_MRO transforms its TMF into a strategic asset w/ Veeva Vault eTMF. Find out how  https://t.co/4yY647BpUx
4770	Read @ContractPharma’s article for advice when considering a content management or RIM technology change  https://t.co/8IKPEC7xWq
4771	.@OutsourcPharma reports on BMS selection of @veevasystems Vault RIM for regulatory information management services  https://t.co/KfpIVm2e70
4772	MacroGenics looks for a holistic approach to global content management. Read how Veeva Vault helps  https://t.co/8IKPEC7xWq
4773	@PharmaCommerce chats with Veeva co-founder Matt Wallach to find out what's next for life sciences IT  https://t.co/AnJhCzw8AE #lifesciences
4774	Learn what strategic process changes MacroGenics made by leveraging the functionality in Veeva Vault Submissions.  https://t.co/8IKPEC7xWq
4775	Marketers aren't spending enough on ads, researcher says. And yes, that includes #pharma -  https://t.co/hcAZQkxxVU #pharmamarketing
4776	BMS calls on Veeva for regulatory information management services (via @OutsourcPharma)  https://t.co/KfpIVm2e70
4777	Thanks to @DrugInfoAssn for a great Medical &amp; Scientific Comms Meeting including best practices for #medicalaffairs to maintain #compliance.
4778	Evaluate the end-to-end state of TMF within your organization.  https://t.co/OKy9pz2CD9
4779	Network-connected #medicaldevices are in the cyber crosshairs -  https://t.co/1j5iyLgMr7
4780	Life in the fast lane: Veeva ranks in top one-third of Deloitte’s Tech Fast 500  https://t.co/dJMfV93pcS #LifeatVeeva
4781	Harvard professors call for science-based #pharmamarketing -  https://t.co/25IDDeRObi
4782	Improve inspection readiness and reduce time managing your TMF. Find out how @NAMSA_MRO did it  https://t.co/4yY647BpUx
4783	See what @OutsourcPharma has to say about BMS selecting Veeva Vault RIM solutions  https://t.co/KfpIVm2e70
4784	Visit Table 6 at @DrugInfoAssn‘s Medical &amp; Scientific Communications Meeting to learn how to gain full visibility of your medical content.
4785	The regulatory team at Macrogenics is reaping the rewards of real-time reporting and informative dashboards.  https://t.co/8IKPEC7xWq
4786	Medical research org @NAMSA_MRO transforms its TMF into a strategic asset w/ Veeva Vault eTMF. Find out how  https://t.co/AJHrIzi0Vs
4787	There is a new approach to life science customer reference data. And the innovation award goes to....  https://t.co/gpf95onlBC
4788	Here are six ways that #pharma can use social media effectively -  https://t.co/4T6244o4GF
4789	We’re at DIA’s Medical &amp; Scientific Communications Meeting where there are 3 tracks covering Medical Comms, Medical Writing and MSL’s.
4790	The Veeva TMF Maturity Model for Life Sciences provides practical steps for advancing your TMF. Take it here  https://t.co/vCUfYpMLxl
4791	See what @OutsourcPharma has to say about BMS selecting Veeva Vault RIM solutions  https://t.co/KfpIVlKDfs
4792	Learn about maintaining visibility of medical content with us @DrugInfoAssn‘s Medical &amp; Scientific Comms Meeting.  https://t.co/7Bxo55W7To
4793	5 industry execs discuss the hurdles, successes and opportunities from harmonizing #healthcare campaigns  https://t.co/ydtq5PjxJY
4794	Register now to @SalesforceFR &amp; @VeevaSystems afterwork event on the new digital challenges for healthcare companies  https://t.co/uZ4xPbMV1r
4795	Learn what strategic process changes MacroGenics made by leveraging the functionality in Veeva Vault Submissions.  https://t.co/8IKPEBPX4S
4796	Better track the impact your medical teams have on your organization's objectives  https://t.co/q98ojYLPMW #MSL
4797	Check out @PharmaCommerce article - features dramatic changes in how pharma manages diverse datasets.  https://t.co/PtOR6OZwZ0 #pharma #MDM
4798	Is social media really too risky for #pharma?  https://t.co/Ho7vX4qpEz #pharmamarketing
4799	Macrogenics on technology upgrades: “If we knew how fast it would be, we would’ve moved to the cloud a lot sooner!”  https://t.co/8IKPEC7xWq
4800	Overcome medical content communication challenges with us @DrugInfoAssn‘s Medical &amp; Scientific Comms Meeting:  https://t.co/7Bxo55W7To
4801	@PharmaCommerce dubs Veeva OpenData the United Nations for comprehensive data coverage across 35 countries.  https://t.co/UlJ9n8jive #pharma
4802	Thanks a lot for visiting us at @eyeforpharma !  #TrustPharma
4803	Last day! Be sure to stop by our booth to check out our latest innovations #TrustPharma
4804	It's a wrap @ArenaIntOCT! Take the online evaluation to learn how to advance your TMF along the maturity continuum.  https://t.co/nIBoCI4KUo
4805	.@Aktana David Ehrlich defines the path to successful #multichannel marketing in 6 steps.  https://t.co/chXynr80cv
4806	"""Thinking about the customer experience you want to deliver"" @PhilippeKirby #trustpharma"
4807	"Customer engagement:"" attract, retain and nurture customers across relevant touch points to foster loyalty"" @PhilippeKirby #trustpharma"
4808	With Vault Submissions, MacroGenics is gaining reliable metrics from document creation through approval.  https://t.co/8IKPEC7xWq
4809	Philippe Kirby @PhilippeKirby, @MSD on stage to share insights on designing customer engagement ecosystem from the outside-in #TrustPharma
4810	It’s time to end exploitative practices to customer data. Bring on a new approach  https://t.co/jx5fJFKBgs #trustpharma
4811	Looking to improve your eTMF? Visit us at booth 35 at OCT Southeast, 3/15-3/16 in Cary, NC.
4812	Panel discussion with @GSK, @actelion_com and @Novartis on multichannel customer engagement #TrustPharma
4813	Come by our booth to grab Veeva headphones #trustpharma  https://t.co/br7Uy13Lz4
4814	Want to engage in relevant, timely conversations informed by a complete customer view? Visit us today at @eyeforpharma - booth 69-72
4815	Multichannel Maturity: from IT to Business @PanosPapak #trustpharma  https://t.co/fy2wI0raIf
4816	"""Multichannel needs investment in culture"" said @PanosPapak, Head of Digital Commercial @Novartis #trustpharma  https://t.co/HrzUHiOTm8"
4817	@panospapak sharing his experience on #Multichannel #trustpharma  https://t.co/NagvmWnzbr
4818	Panos Papakonstantinou, Head Digital Commercial @Novartis talking on Design a successful customer-centric multichannel solution #TrustPharma
4819	Are you buying the same customer data multiple times? Stop the madness! It’s time for a new approach  https://t.co/jx5fJFKBgs #TrustPharma
4820	Looking for faster reviews, seamless collaboration, and consistent #compliance? Visit the Veeva booth at @eyeforpharma #TrustPharma
4821	"Actelion's session on ""How to prepare and align your commercial functions to work together accross local &amp; global markets?"" #TrustPharma"
4822	Be sure to stop by our booth at @eyeforpharma to check out our latest innovations #TrustPharma
4823	Ready for Day 2 #TrustPharma  https://t.co/oVCbavHQA9
4824	Evaluate the current state of your TMF, compare it to the industry, &amp; define steps to achieve your target TMF state. Booth 35 @ ArenaIntOCT
4825	See you tomorrow, booth 69-72 ! #TrustPharma
4826	Learn, connect, share! Veeva customers - register for the 2016 Veeva Commercial Summit today.  https://t.co/p549mD9gop #veevacs16
4827	Evaluate the end-to-end state of TMF within your organization.  https://t.co/OKy9pz2CD9
4828	From China to Germany to US to Canada… can you trust your customer data? It’s time for a new approach  https://t.co/jx5fJFKBgs #trustpharma
4829	Andreas Wandelt, VP Global Sales and Marketing Services @Pfizer talks on the journey to integrate #Marketing &amp; Sales for commercial success
4830	It’s time to end exploitative practices to customer data. Bring on a new approach #TrustPharma  https://t.co/jx5fJFKBgs
4831	Kirsten Detrick, @khdetrick @TakedaPharma sharing insights on product launch and organizational transformation #TrustPharma
4832	Are you buying the same customer data multiple times? Stop the madness! It’s time for a new approach  https://t.co/jx5fJFKBgs #TrustPharma
4833	How can #medicalaffairs create competitive advantage in the evolving healthcare landscape? Learn here  https://t.co/QsOluTi8ML #pharma
4834	Thank you for attending our workshop! If you need more info, make sure to stop by our booth 69-72. #trustpharma #e4pbarca
4835	EN DIRECT sur #Periscope : 3rd scenario at @eyeforpharma #TrustPharma  https://t.co/iE4ocGZDT9
4836	2nd table discussion at @eyeforpharma #trustpharma  https://t.co/A5vWnmB04H
4837	Table discussion at eyeforpharma: What is the right level of integration between sales and medical? #trustpharma  https://t.co/LkGbvOCLST
4838	Watch on #Periscope: Veeva's interactive workshop #TrustPharma  https://t.co/5ZHoKs0TqH
4839	Learn how to move along the TMF maturity continuum at OCT Southeast 3/15-3/16 in Cary, NC. Visit us at booth 35.
4840	EN DIRECT sur #Periscope : Dr Reid at @eyeforpharma #TrustPharma  https://t.co/oKPyzELXM9
4841	Dr Reid waiting for you! Room 121 @eyeforpharma workshop #TrustPharma  https://t.co/6H6WrmJpKW
4842	The Most Valuable Pharma Collaboration award goes to @UCB_news #TrustPharma
4843	New panel discussion with @Tevapharm @ucb_news &amp; @Astrazeneca on #patient support. #TrustPharma
4844	"""We need to put the patient at the center &amp; recognize that the #patient is at the centre of a healthcare ecosystem""Andy Jones @AstraZeneca"
4845	Now listening to Andy Jones from @Astrazeneca on Increase patient activation, improve adherence &amp; patient management #TrustPharma
4846	Congrats to @MSDFrance who win the award of the most valuable HCP initiative for Communiti social network for HCPs! #TrustPharma
4847	"Still time to register to our workshop ""A Day in The #Cloud:Experience the Reality of Multichannel Engagement"" @eyeforpharma #TrustPharma"
4848	EN DIRECT sur #Periscope : Visit us booth 69-72 @ep4barca #TrustPharma  https://t.co/mGtmINu7bS
4849	Want to know more about Multichannel #CRM? Visit us today at @eyeforpharma - booth 69-72 #TrustPharma
4850	It’s time to end exploitative practices to customer data. Bring on a new approach #TrustPharma  https://t.co/jx5fJFsZRS
4851	Meet Veeva's promotional compliance experts at @eyeforpharma for the very latest on #lifesciences compliance! #TrustPharma
4852	"""We should move away from doing things for the patient, and do it as the patient"" Bharat Tewarie, Executive VP &amp; CMO @ucb_news #trustpharma"
4853	@GSK @Lundbeck &amp; @ucb_news talking about the link between patients and profitabilty @eyeforpharma #TrustPharma
4854	Danie du Plessis of @GSK has also stopped paying healthcare professionals for speaking about their products #TrustPharma
4855	Has pharma really always been patient-centric? New panel discussion with @GSK  @Lundbeck @ucb_news #TrustPharma  https://t.co/gcEdAkBZR4
4856	Congratulations to @sanofi  #TrustPharma
4857	Who will win the award of most valuable #patient initiative or service? #TrustPharma
4858	Already 33+ registrations to our interactive workshop! Still time to join #TrustPharma
4859	"""Pharma needs to agree who its customer is, and It should be the patient"" @EliLillyCo quote at @eyeforpharma #trustpharma"
4860	What patient-centric leadership looks like? How the industry will evolve based on this paradigm? @LillyPad on stage #TrustPharma
4861	Good morning from @eyeforpharma! Looking for a new approach to customer data? Look no farther  https://t.co/jx5fJFsZRS  #TrustPharma
4862	EN DIRECT sur #Periscope : Keynote session is about to start! #TrustPharma @eyeforpharma  https://t.co/bEf9e3oYkj
4863	Meet Dr Reid today at 2:40 p.m. room 121! #trustpharma #e4pbarca  https://t.co/MV6S4znYVs
4864	Register to our interactive workshop to gain insights on moving your multichannel strategy from concept to reality #TrustPharma
4865	Demo time at the Veeva booth. Make sure you stop #TrustPharma  https://t.co/HNeSokmUI2
4866	Veeva are proud global sponsors of @eyeforpharma, come visit us at booths 69-72 #TrustPharma
4867	MacroGenics looks for a holistic approach to global content management. Read how Veeva Vault helps  https://t.co/8IKPEC7xWq
4868	@EXTEDO and @veevasystems partner to enable global access and efficient submissions. Recorded webinar:  https://t.co/t68qz4feJ9
4869	Tips from Ronald Hernando, director of regulatory operations at MacroGenics, for switching from on-premise to cloud:  https://t.co/8IKPEC7xWq
4870	.@OutsourcPharma reports on BMS selection of @veevasystems Vault RIM for regulatory information management services  https://t.co/KfpIVm2e70
4871	The #FDA is looking for more information from the industry on refurbished #medicaldevices -  https://t.co/rsGYr7ISTl
4872	Afterwork organisé par @SalesforceFR &amp; @veevasystems sur le secteur #médical.Inscrivez-vous:  https://t.co/uZ4xPc4vSZ  https://t.co/zpvpUcX0VF
4873	Register now to @SalesforceFR &amp; @VeevaSystems afterwork event on the new digital challenges for healthcare companies  https://t.co/uZ4xPbMV1r
4874	The regulatory team at Macrogenics is reaping the rewards of real-time reporting and informative dashboards.  https://t.co/8IKPEC7xWq
4875	@Aktana David Ehrlich defines the path to successful #multichannel marketing in six steps.  https://t.co/Mc00EOpnfw
4876	The #FDA wants to study whether animated prescription drug ads are memorable for the right reasons:  https://t.co/sMB5sHx8w3 #pharmamarketing
4877	BMS calls on Veeva for regulatory information management services (via @OutsourcPharma)  https://t.co/KfpIVm2e70
4878	The Veeva TMF Maturity Model for Life Sciences provides practical steps for advancing your TMF. Take it here  https://t.co/vCUfYpMLxl
4879	The #pharma industry can't rely on physician promotion only for a successful global launch – strategy must change.  https://t.co/wyjbk9IHYP
4880	.@Aktana David Ehrlich defines the path to successful #multichannel marketing in 6 steps.  https://t.co/chXynr80cv
4881	Bringing #commercialcontent to market quickly requires #lifesciences to move to a single, #digital solution. More:  https://t.co/rvbNpN3xwz
4882	The #EMA has released its first guidance to help drugmakers develop therapies to treat autism spectrum disorder.  https://t.co/ub87jjlAoz
4883	@Aktana David Ehrlich defines the path to successful #multichannel marketing in six steps.  https://t.co/Mc00EOpnfw
4884	How can #lifesciences achieve the highest internal ROI on #compliant #digital tactics coming to market? Read:  https://t.co/vLhrv7M7If
4885	WebMD sees rapid online and mobile growth in #pharma ads, with more to come -  https://t.co/lSLsDXjAyT #pharmamarketing
4886	Macrogenics on technology upgrades: “If we knew how fast it would be, we would’ve moved to the cloud a lot sooner!”  https://t.co/8IKPEC7xWq
4887	#Medicalaffairs must build meaningful relationships w/ a spectrum of stakeholders, from KOLs to payers. Learn how  https://t.co/wcDUYsoLG7
4888	BMS calls on Veeva for regulatory information management services (via @OutsourcPharma)  https://t.co/KfpIVm2e70
4889	Webinar recording available! Regulatory processes anywhere in the world #Tried #Proven  https://t.co/t68qz4feJ9
4890	.@ContractPharma features MacroGenics journey to the cloud for regulatory content management.  https://t.co/8IKPEC7xWq
4891	Tips from Ronald Hernando, director of regulatory operations at MacroGenics, for switching from on-premise to cloud:  https://t.co/8IKPEC7xWq
4892	Great keynotes on manufacturing and changes to European regulations at #ISPE2016. Come and visit us at booth 38!
4893	That’s all for #MarketingPharma with @DrugInfoAssn! Thanks to DIA for a great event and to all who stopped by our booth to meet our team.
4894	.@OutsourcPharma reports on BMS selection of @veevasystems Vault RIM for regulatory information management services  https://t.co/KfpIVm2e70
4895	Identify the trends reflected in the latest policies issued by the FDA with us today and tomorrow at #MarketingPharma @DrugInfoAssn
4896	"""A Day in The #Cloud: Experience the Reality of Multichannel Engagement at @eyeforpharma #TrustPharma  https://t.co/nFvHtjEEEe"""
4897	Bringing #commercialcontent to market quickly requires #lifesciences to move to a single, #digital solution. More:  https://t.co/rvbNpN3xwz
4898	Read @ContractPharma’s article for advice when considering a content management or RIM technology change  https://t.co/8IKPEC7xWq
4899	@DrugInfoAssn we are IN! Looking forward to another great EuroMeeting.
4900	MacroGenics looks for a holistic approach to global content management. Read how Veeva Vault helps  https://t.co/8IKPEC7xWq
4901	We’re examining &amp; evaluating #compliance challenges companies face &amp; what may impact the development of solutions at DIA’s #MarketingPharma
4902	Learn how to improve clinical, manufacturing, and regulatory ops with @veevasystems and @docusign. Register here  https://t.co/S1Qh7CjURm
4903	We’re at DIA’s #MarketingPharma with over 250 life sciences professionals who regularly work through #regulatory &amp; #compliance challenges.
4904	Learn how to improve compliance with industry regulations. Join our webinar with @docusign. 3/9 at 1 p.m. ET  https://t.co/S1Qh7CjURm
4905	Last chance! In 1 hour @veevasystems discuss the challenges of using traditional on-premise solutions. Register now:  https://t.co/Ls9oncfGlu
4906	Bristol-Myers Squibb Selects Veeva Vault RIM Solutions to manage registration tracking and submissions archiving  https://t.co/62opWq5o6D
4907	Real-time Quality Oversight Live Demo at our booth 38 on March 9th at 10:30am #ISPE2016 #SingleSourceofTruth
4908	Be sure to stop by our booth n° 69-72 at @eyeforpharma to check out our latest innovations #TrustPharma
4909	How can #lifesciences achieve the highest internal ROI on #compliant #digital tactics coming to market? Read:  https://t.co/vLhrv7M7If
4910	With Vault Submissions, MacroGenics is gaining reliable metrics from document creation through approval.  https://t.co/8IKPEC7xWq
4911	Registration is open for Veeva customers and invited guests! 2016 Veeva Commercial &amp; Medical Summit.  https://t.co/p549mD9gop #veevacs16
4912	Global survey analyzes 200+ industry professionals to identify #commercialcontent management challenges. Results –  https://t.co/Ep7KkmYdr2
4913	Join Dr Reid at @eyeforpharma to gain practical insight on integrated multichannel engagement ! #TrustPharma  https://t.co/RTx1xumWW9
4914	The #pharma industry is getting #digital. Without a #digitalassetmanagement solution, you may fall behind. Read more  https://t.co/rvbNpN3xwz
4915	Join #OPDP and #pharma/#biotech leaders at #MarketingPharma Conference @DrugInfoAssn March 3 - 4.
4916	Learn how the #MSL brings added value to HCPs and HCOs. Click here  https://t.co/D0vOlWMbFc #pharma #medicalaffairs
4917	Live webinar tomorrow! What Regulatory professionals need to know about #cloud - @Informa_Regs and @veevasystems -  https://t.co/Ls9oncfGlu
4918	Learn how to improve compliance with industry regulations. Join our webinar with @docusign. 3/9 at 1 p.m. ET  https://t.co/S1Qh7CjURm
4919	Bristol-Myers Squibb Selects Veeva Vault RIM Solutions to manage registration tracking and submissions archiving  https://t.co/62opWq5o6D
4920	Learn what strategic process changes MacroGenics made by leveraging the functionality in Veeva Vault Submissions.  https://t.co/8IKPEC7xWq
4921	How to create a digital strategy for everything from contracts to quality documents. Register here  https://t.co/S1Qh7CjURm
4922	89% of #lifesciences companies are using two or more tools to manage #commercialcontent, according to global survey:  https://t.co/Ep7KkmYdr2
4923	Bristol-Myers Squibb Selects Veeva Vault RIM Solutions to manage registration tracking and submissions archiving  https://t.co/62opWq5o6D
4924	Regulatory teams: What to ask vendors when evaluating #cloud providers @Informa_Regs and @veevasystems live webinar:  https://t.co/Ls9oncfGlu
4925	The Veeva TMF Maturity Model for Life Sciences provides practical steps for advancing your TMF. Take it here  https://t.co/vCUfYpMLxl
4926	The @ISPEorg Annual Conference 2016 is approaching and we are exhibiting. Come and visit us at booth 38 in #Frankfurt
4927	Informa and Veeva live webinar: “What Regulatory professionals need to know about cloud” – 3rd March  https://t.co/Ls9oncfGlu
4928	.@ContractPharma features MacroGenics journey to the cloud for regulatory content management.  https://t.co/8IKPEC7xWq
4929	The #pharma industry can't rely on physician promotion only for a successful global launch – strategy must change.  https://t.co/wyjbka0jnp
4930	Learn how to modernize your approach to promotional claims management  https://t.co/73M655Oq26 #lifesciences  https://t.co/dHrvBcbAPM
4931	Learn #pharma’s latest industry best practices and guidelines with us at @DrugInfoAssn’s #MarketingPharma Conference March 3 - 4.
4932	Webinar: 3 Ways to Launch Your Digital Life Sciences Strategy. Wed March 9 at 1 p.m. ET / 10 a.m. PT  https://t.co/S1Qh7CjURm
4933	Global survey reveals that 63% of respondents are still manually withdrawing their #commercialcontent. Full results:  https://t.co/Ep7KkmYdr2
4934	How to create a digital strategy for everything from contracts to quality documents. Register here  https://t.co/S1Qh7CjURm
4935	Webinar: 3 Ways to Launch Your Digital Life Sciences Strategy. Wed March 9 at 1 p.m. ET / 10 a.m. PT  https://t.co/S1Qh7CjURm
4936	Where is the industry with TMF, and where is it looking to go? Find out and see how you compare   https://t.co/vCUfYq4mVV
4937	How to create a digital strategy for everything from contracts to quality documents. Register here  https://t.co/S1Qh7CBwfW
4938	Remove the burden of unmanaged promotional claims. Learn how  https://t.co/73M65660TE #pharma
4939	Learn how to improve clinical, manufacturing, and regulatory ops with @veevasystems and @docusign. Register here  https://t.co/S1Qh7CjURm
4940	The shifting market landscape requires new strategies for global launches. Read more from @PharmaVoice  https://t.co/wyjbk9IHYP
4941	Global survey highlights the challenges with existing approaches to #commercialcontent management . More:  https://t.co/Sk0pkwI3fR
4942	#digitalassetmanagement: Can you afford to ignore it? Join live webinar 8th March @veevasystems  #pharma #marketer   https://t.co/NDC2mmNjdV
4943	Join #OPDP and #pharma/#biotech leaders at #MarketingPharma Conference @DrugInfoAssn March 3 - 4.
4944	Learn to manage user generated content to limit your risk  https://t.co/MTOclZxC1R @veevasystems @ReedSmithHealth #pharma #regulatory #FDA
4945	Learn how to improve clinical, manufacturing, and regulatory ops with @veevasystems and @docusign. Register here  https://t.co/S1Qh7CjURm
4946	That's a wrap #SCOPE2016! Take the online evaluation to learn how to advance your TMF from passive to active.  https://t.co/nIBoCI4KUo
4947	The results are in! Global survey identifies how to improve  #commercialcontent management. Read more on our blog:  https://t.co/Sk0pkwI3fR
4948	We're excited to be at @eyeforpharma Barcelona in March! #TrustPharma
4949	The full results for the Veeva 2015 #LifeSciences Commercial Content Management Survey are available for download:  https://t.co/Ep7KkmYdr2
4950	Medicines360 takes control of quality documents and gains visibility into compliance risk with #Vault QualityDocs  https://t.co/0BNvg8nu42
4951	Evaluate the current state of your TMF, compare it to the industry, &amp; define steps to achieve your target TMF state. Booth 405. #SCOPE2016
4952	#Healthcare in the US is the most costly in the world. #VeevaSystems &amp; others share insights &amp; potential solutions:  https://t.co/bmSocwhgKV
4953	Don’t miss the #SCOPE2016 session, “Integrating TMF &amp; clinical processes to improve study operations,” at 4:30 p.m. on Wed, Feb 24.
4954	Try our TMF Maturity Model to evaluate the state of your TMF and get a roadmap of where (and how) to improve  https://t.co/vCUfYpMLxl
4955	Learn how #medicalaffairs can create a competitive advantage for their organization. Register for 2/24 live webinar  https://t.co/36W3oUdClt
4956	Don’t miss the #SCOPE2016 session, “Integrating TMF &amp; clinical processes to improve study operations,” at 4:30 p.m. on Wed, Feb 24.
4957	Learn how to move from passive to active eTMF. Visit us at booth 405. #SCOPE2016
4958	Outline your organization’s TMF goals and objectives with the Veeva TMF Maturity Model for Life Sciences  https://t.co/vCUfYpMLxl
